DateTime,CAD,HKD,ISK,PHP,DKK,HUF,CZK,GBP,RON,SEK,IDR,INR,BRL,RUB,HRK,JPY,THB,CHF,EUR,MYR,BGN,TRY,CNY,NOK,NZD,ZAR,USD,MXN,SGD,AUD,ILS,KRW,PLN
2018-02-22,0.1622856786,1.0,12.8983229057,6.6533068218,0.7751694271,32.5518691637,2.6354636213,0.0919674367,0.4846500588,1.040641689,1752.2168667173,8.3167116043,0.4179618776,7.253156914,0.7749924526,13.6863802455,4.0351242466,0.1198013721,0.1041026869,0.5008588472,0.203604035,0.4856182138,0.8128858306,1.0086821641,0.1744865135,1.4973609969,0.1277964584,2.4019717049,0.1689794814,0.1634308081,0.4469648862,138.5877429496,0.4353470263
2018-02-23,0.162275642,1.0,12.8768746298,6.6222887372,0.7739531693,32.5174861514,2.6332637005,0.0913956703,0.4837921824,1.0453548675,1748.1069227491,8.2781467278,0.4144191896,7.2177012856,0.7728723017,13.6438749104,4.0187488957,0.1195709787,0.1039295773,0.5002650204,0.2032654673,0.4840520064,0.8097569087,1.0057265197,0.1752668392,1.4782839148,0.1278229871,2.3735956516,0.168927135,0.1633772955,0.4460449599,137.6412143132,0.4333655515
2018-02-24,0.162275642,1.0,12.8768746298,6.6222887372,0.7739531693,32.5174861514,2.6332637005,0.0913956703,0.4837921824,1.0453548675,1748.1069227491,8.2781467278,0.4144191896,7.2177012856,0.7728723017,13.6438749104,4.0187488957,0.1195709787,0.1039295773,0.5002650204,0.2032654673,0.4840520064,0.8097569087,1.0057265197,0.1752668392,1.4782839148,0.1278229871,2.3735956516,0.168927135,0.1633772955,0.4460449599,137.6412143132,0.4333655515
2018-02-25,0.162275642,1.0,12.8768746298,6.6222887372,0.7739531693,32.5174861514,2.6332637005,0.0913956703,0.4837921824,1.0453548675,1748.1069227491,8.2781467278,0.4144191896,7.2177012856,0.7728723017,13.6438749104,4.0187488957,0.1195709787,0.1039295773,0.5002650204,0.2032654673,0.4840520064,0.8097569087,1.0057265197,0.1752668392,1.4782839148,0.1278229871,2.3735956516,0.168927135,0.1633772955,0.4460449599,137.6412143132,0.4333655515
2018-02-26,0.1620239244,1.0,12.8336808906,6.6332596719,0.7725004409,32.5344704161,2.6342764066,0.0911118719,0.4837270586,1.0419973648,1746.5062715926,8.2794360235,0.4135101207,7.1524064449,0.7722514447,13.6532934939,4.003236951,0.1196219407,0.1037484308,0.499704317,0.202911181,0.4832498158,0.8063639287,0.9991285132,0.1747849814,1.4817973378,0.1278180668,2.3776650378,0.1683525787,0.1629887848,0.4464709971,136.9645284115,0.4325998319
2018-02-27,0.1625290843,1.0,12.8697856074,6.6775386405,0.7734336048,32.6128053847,2.638150241,0.0918231677,0.4837855243,1.0470334054,1747.0178244973,8.2893260761,0.4137340037,7.1461588001,0.7733505069,13.6872610936,4.0108235001,0.1198583181,0.1038723616,0.4993352169,0.2031535649,0.4843464351,0.8067246967,1.0001869703,0.1757312614,1.4893219212,0.1277733921,2.3922324248,0.1686367791,0.1630588333,0.444802227,136.9567475486,0.432836131
2018-02-28,0.1632721377,1.0,12.9400073226,6.6573565563,0.7789633349,32.8395836602,2.658925676,0.0924891469,0.4877870181,1.0557351326,1756.6849730634,8.3292013181,0.4144045191,7.1922171662,0.7793817668,13.6743553533,4.0157958052,0.1205083948,0.1046079816,0.5013860558,0.2045922904,0.4859145353,0.8084627857,1.0058371254,0.1768397929,1.5029760971,0.1277681887,2.4000941472,0.1690674198,0.1635755008,0.4446676081,138.1086876929,0.4370626079
2018-03-01,0.1643240293,1.0,12.9851043952,6.6383590691,0.7817305775,32.938286638,2.6698718285,0.092921701,0.4888886556,1.0621647439,1763.5556302027,8.326895017,0.4171609124,7.2618750197,0.78183555,13.6443320072,4.0334652488,0.12091788,0.1049725497,0.501915749,0.2053053127,0.4874400344,0.8113328365,1.0140348299,0.1770467023,1.5242014213,0.1277620902,2.4181896434,0.1695306677,0.1652897767,0.4450521189,138.9301197737,0.4393416122
2018-03-02,0.1645071942,1.0,12.8530970881,6.6426341069,0.7726277789,32.5611792898,2.6358704109,0.0926584852,0.4833656649,1.0544207807,1759.750822121,8.3322613774,0.4159465544,7.3015861489,0.7722750708,13.4620372003,4.0219093955,0.1194228036,0.1037376682,0.500710603,0.2028901314,0.4875462929,0.8104090376,0.9977281451,0.1764992686,1.5256491385,0.1277218171,2.4175129931,0.1686878222,0.1647872859,0.4409680799,138.4731889997,0.4351172754
2018-03-03,0.1645071942,1.0,12.8530970881,6.6426341069,0.7726277789,32.5611792898,2.6358704109,0.0926584852,0.4833656649,1.0544207807,1759.750822121,8.3322613774,0.4159465544,7.3015861489,0.7722750708,13.4620372003,4.0219093955,0.1194228036,0.1037376682,0.500710603,0.2028901314,0.4875462929,0.8104090376,0.9977281451,0.1764992686,1.5256491385,0.1277218171,2.4175129931,0.1686878222,0.1647872859,0.4409680799,138.4731889997,0.4351172754
